name,relative_url,population,more_or_less_pop,arrests,more_or_less_arrests,los_angeles,new_york_city,chicago,average_full_time_officers,rate_of_force,town_name,county,patrol_area,full_url
"Manasquan, Monmouth",/database/pd-dept/manasquan-monmouth,556%,more likely,62%,more likely,3,21,21,16,This department uses force at higher rate than 431 police departments,Manasquan,Monmouth County,Patrol area: Manasquan,http://force.nj.com/database/pd-dept/manasquan-monmouth
"Manchester, Ocean",/database/pd-dept/manchester-ocean,153%,more likely,12%,less likely,5,47,48,66,This department uses force at higher rate than 323 police departments,Manchester,Ocean County,Patrol area: Manchester,http://force.nj.com/database/pd-dept/manchester-ocean
"Mansfield, Burlington",/database/pd-dept/mansfield-burlington,N/A,Not found,N/A,Not found,0,2,2,12,This department uses force at lower rate than 443 police departments,Mansfield,Burlington County,Patrol area: Mansfield,http://force.nj.com/database/pd-dept/mansfield-burlington
"Mansfield, Warren",/database/pd-dept/mansfield-warren,18%,more likely,41%,less likely,0,10,10,13,This department uses force at lower rate than 394 police departments,Mansfield,Warren County,Patrol area: Mansfield,http://force.nj.com/database/pd-dept/mansfield-warren
"Mantoloking, Ocean",/database/pd-dept/mantoloking-ocean,N/A,Not found,N/A,Not found,0,0,0,8,This department uses force at lower rate than 450 police departments,Mantoloking,Ocean County,Patrol area: Mantoloking,http://force.nj.com/database/pd-dept/mantoloking-ocean
"Mantua, Gloucester",/database/pd-dept/mantua-gloucester,357%,more likely,22%,less likely,2,16,16,26,This department uses force at lower rate than 238 police departments,Mantua,Gloucester County,Patrol area: Mantua,http://force.nj.com/database/pd-dept/mantua-gloucester
"Manville, Somerset",/database/pd-dept/manville-somerset,916%,more likely,102%,more likely,0,14,14,22,This department uses force at higher rate than 272 police departments,Manville,Somerset County,Patrol area: Manville,http://force.nj.com/database/pd-dept/manville-somerset
"Maple Shade, Burlington",/database/pd-dept/maple-shade-burlington,194%,more likely,4%,less likely,2,23,23,33,This department uses force at higher rate than 289 police departments,Maple Shade,Burlington County,Patrol area: Maple Shade,http://force.nj.com/database/pd-dept/maple-shade-burlington
"Maplewood, Essex",/database/pd-dept/maplewood-essex,368%,more likely,7%,more likely,7,38,39,61,This department uses force at higher rate than 467 police departments,Maplewood,Essex County,Patrol area: Maplewood,http://force.nj.com/database/pd-dept/maplewood-essex
"Margate, Atlantic",/database/pd-dept/margate-atlantic,N/A,Not found,19%,more likely,0,10,10,28,This department uses force at lower rate than 239 police departments,Margate,Atlantic County,Patrol area: Margate,http://force.nj.com/database/pd-dept/margate-atlantic
"Marlboro, Monmouth",/database/pd-dept/marlboro-monmouth,451%,more likely,Not found,Not found,1,16,17,70,This department uses force at higher rate than 282 police departments,Marlboro,Monmouth County,Patrol area: Marlboro,http://force.nj.com/database/pd-dept/marlboro-monmouth
"Matawan, Monmouth",/database/pd-dept/matawan-monmouth,160%,more likely,6%,more likely,2,8,8,21,This department uses force at higher rate than 284 police departments,Matawan,Monmouth County,Patrol area: Matawan,http://force.nj.com/database/pd-dept/matawan-monmouth
"Maywood, Bergen",/database/pd-dept/maywood-bergen,449%,more likely,19%,less likely,0,10,10,22,This department uses force at higher rate than 248 police departments,Maywood,Bergen County,Patrol area: Maywood,http://force.nj.com/database/pd-dept/maywood-bergen
"Medford Lakes, Burlington",/database/pd-dept/medford-lakes-burlington,N/A,Not found,N/A,Not found,0,0,0,8,This department uses force at lower rate than 434 police departments,Medford Lakes,Burlington County,Patrol area: Medford Lakes,http://force.nj.com/database/pd-dept/medford-lakes-burlington
"Medford, Burlington",/database/pd-dept/medford-burlington,297%,more likely,16%,less likely,0,14,15,29,This department uses force at lower rate than 397 police departments,Medford,Burlington County,Patrol area: Medford,http://force.nj.com/database/pd-dept/medford-burlington
"Mendham Borough, Morris",/database/pd-dept/mendham-borough-morris,N/A,Not found,13%,more likely,0,0,0,11,This department uses force at higher rate than 426 police departments,Mendham Borough,Morris County,Patrol area: Mendham Borough,http://force.nj.com/database/pd-dept/mendham-borough-morris
"Mendham Township, Morris",/database/pd-dept/mendham-township-morris,N/A,Not found,127%,more likely,0,2,2,14,This department uses force at lower rate than 429 police departments,Mendham Township,Morris County,Patrol area: Mendham Township,http://force.nj.com/database/pd-dept/mendham-township-morris
"Merchantville, Camden",/database/pd-dept/merchantville-camden,N/A,Not found,17%,more likely,0,4,4,13,This department uses force at lower rate than 315 police departments,Merchantville,Camden County,Patrol area: Merchantville,http://force.nj.com/database/pd-dept/merchantville-camden
"Metuchen, Middlesex",/database/pd-dept/metuchen-middlesex,275%,more likely,34%,less likely,0,10,10,28,This department uses force at lower rate than 375 police departments,Metuchen,Middlesex County,Patrol area: Metuchen,http://force.nj.com/database/pd-dept/metuchen-middlesex
"Middle, Cape May",/database/pd-dept/middle-cape-may,223%,more likely,99%,more likely,3,33,33,48,This department uses force at lower rate than 274 police departments,Middle,Cape May County,Patrol area: Middle,http://force.nj.com/database/pd-dept/middle-cape-may
"Middlesex, Middlesex",/database/pd-dept/middlesex-middlesex,8%,more likely,46%,less likely,0,10,14,28,This department uses force at higher rate than 343 police departments,Middlesex,Middlesex County,Patrol area: Middlesex,http://force.nj.com/database/pd-dept/middlesex-middlesex
"Middletown, Monmouth",/database/pd-dept/middletown-monmouth,1021%,more likely,56%,more likely,3,55,56,108,This department uses force at higher rate than 406 police departments,Middletown,Monmouth County,Patrol area: Middletown,http://force.nj.com/database/pd-dept/middletown-monmouth
"Midland Park, Bergen",/database/pd-dept/midland-park-bergen,N/A,Not found,N/A,Not found,0,3,3,14,This department uses force at lower rate than 373 police departments,Midland Park,Bergen County,Patrol area: Midland Park,http://force.nj.com/database/pd-dept/midland-park-bergen
"Millburn, Essex",/database/pd-dept/millburn-essex,N/A,Not found,76%,more likely,0,6,8,53,This department uses force at lower rate than 401 police departments,Millburn,Essex County,Patrol area: Millburn,http://force.nj.com/database/pd-dept/millburn-essex
"Milltown, Middlesex",/database/pd-dept/milltown-middlesex,N/A,Not found,35%,more likely,0,5,6,15,This department uses force at lower rate than 327 police departments,Milltown,Middlesex County,Patrol area: Milltown,http://force.nj.com/database/pd-dept/milltown-middlesex
"Millville, Cumberland",/database/pd-dept/millville-cumberland,581%,more likely,138%,more likely,21,50,53,72,This department uses force at higher rate than 394 police departments,Millville,Cumberland County,Patrol area: Millville,http://force.nj.com/database/pd-dept/millville-cumberland
"Monmouth Beach, Monmouth",/database/pd-dept/monmouth-beach-monmouth,N/A,Not found,57%,less likely,0,7,8,9,This department uses force at higher rate than 347 police departments,Monmouth Beach,Monmouth County,Patrol area: Monmouth Beach,http://force.nj.com/database/pd-dept/monmouth-beach-monmouth
"Monroe, Gloucester",/database/pd-dept/monroe-gloucester,91%,more likely,1%,more likely,6,26,28,64,This department uses force at higher rate than 348 police departments,Monroe,Gloucester County,Patrol area: Monroe,http://force.nj.com/database/pd-dept/monroe-gloucester
"Monroe, Middlesex",/database/pd-dept/monroe-middlesex,22%,less likely,63%,less likely,0,24,24,54,This department uses force at higher rate than 280 police departments,Monroe,Middlesex County,Patrol area: Monroe,http://force.nj.com/database/pd-dept/monroe-middlesex
"Montclair, Essex",/database/pd-dept/montclair-essex,490%,more likely,15%,more likely,0,33,34,103,This department uses force at higher rate than 337 police departments,Montclair,Essex County,Patrol area: Montclair,http://force.nj.com/database/pd-dept/montclair-essex
"Montgomery, Somerset",/database/pd-dept/montgomery-somerset,N/A,Not found,N/A,Not found,0,0,1,28,This department uses force at lower rate than 460 police departments,Montgomery,Somerset County,Patrol area: Montgomery,http://force.nj.com/database/pd-dept/montgomery-somerset
"Montvale, Bergen",/database/pd-dept/montvale-bergen,741%,more likely,60%,less likely,0,4,4,22,This department uses force at lower rate than 271 police departments,Montvale,Bergen County,Patrol area: Montvale,http://force.nj.com/database/pd-dept/montvale-bergen
"Montville, Morris",/database/pd-dept/montville-morris,59%,more likely,76%,less likely,0,12,13,36,This department uses force at higher rate than 338 police departments,Montville,Morris County,Patrol area: Montville,http://force.nj.com/database/pd-dept/montville-morris
"Moonachie &amp; Teterboro, Bergen",/database/pd-dept/moonachie-bergen,N/A,Not found,N/A,Not found,0,3,3,17,This department uses force at lower rate than 417 police departments,Moonachie,Bergen County,Patrol area: Moonachie &amp; Teterboro,http://force.nj.com/database/pd-dept/moonachie-bergen
"Moorestown, Burlington",/database/pd-dept/moorestown-burlington,842%,more likely,6%,more likely,0,10,11,32,This department uses force at lower rate than 409 police departments,Moorestown,Burlington County,Patrol area: Moorestown,http://force.nj.com/database/pd-dept/moorestown-burlington
"Morris Plains, Morris",/database/pd-dept/morris-plains-morris,N/A,Not found,10%,less likely,0,4,5,16,This department uses force at lower rate than 377 police departments,Morris Plains,Morris County,Patrol area: Morris Plains,http://force.nj.com/database/pd-dept/morris-plains-morris
"Morris Township, Morris",/database/pd-dept/morris-township-morris,429%,more likely,25%,less likely,1,10,11,42,This department uses force at lower rate than 259 police departments,Morris Township,Morris County,Patrol area: Morris Township,http://force.nj.com/database/pd-dept/morris-township-morris
"Morristown, Morris",/database/pd-dept/morristown-morris,112%,more likely,3%,more likely,4,32,37,54,This department uses force at higher rate than 321 police departments,Morristown,Morris County,Patrol area: Morristown,http://force.nj.com/database/pd-dept/morristown-morris
"Mount Arlington, Morris",/database/pd-dept/mount-arlington-morris,N/A,Not found,N/A,Not found,0,2,2,14,This department uses force at lower rate than 387 police departments,Mount Arlington,Morris County,Patrol area: Mount Arlington,http://force.nj.com/database/pd-dept/mount-arlington-morris
"Mount Ephraim, Camden",/database/pd-dept/mount-ephraim-camden,101%,more likely,60%,less likely,0,10,11,12,This department uses force at higher rate than 253 police departments,Mount Ephraim,Camden County,Patrol area: Mount Ephraim,http://force.nj.com/database/pd-dept/mount-ephraim-camden
"Mount Holly, Burlington",/database/pd-dept/mount-holly-burlington,408%,more likely,100%,more likely,8,24,24,20,This department uses force at higher rate than 344 police departments,Mount Holly,Burlington County,Patrol area: Mount Holly,http://force.nj.com/database/pd-dept/mount-holly-burlington
"Mount Laurel, Burlington",/database/pd-dept/mount-laurel-burlington,392%,more likely,3%,more likely,0,28,28,60,This department uses force at lower rate than 286 police departments,Mount Laurel,Burlington County,Patrol area: Mount Laurel,http://force.nj.com/database/pd-dept/mount-laurel-burlington
"Mount Olive, Morris",/database/pd-dept/mount-olive-morris,31%,less likely,56%,less likely,0,20,21,47,This department uses force at lower rate than 289 police departments,Mount Olive,Morris County,Patrol area: Mount Olive,http://force.nj.com/database/pd-dept/mount-olive-morris
"Mountain Lakes, Morris",/database/pd-dept/mountain-lakes-morris,N/A,Not found,N/A,Not found,0,0,0,13,This department uses force at lower rate than 441 police departments,Mountain Lakes,Morris County,Patrol area: Mountain Lakes,http://force.nj.com/database/pd-dept/mountain-lakes-morris
"Mountainside, Union",/database/pd-dept/mountainside-union,N/A,Not found,17%,more likely,0,5,7,22,This department uses force at higher rate than 360 police departments,Mountainside,Union County,Patrol area: Mountainside,http://force.nj.com/database/pd-dept/mountainside-union
"Mullica, Atlantic",/database/pd-dept/mullica-atlantic,N/A,Not found,11%,more likely,0,4,4,12,This department uses force at lower rate than 403 police departments,Mullica,Atlantic County,Patrol area: Mullica,http://force.nj.com/database/pd-dept/mullica-atlantic
"Neptune City, Monmouth",/database/pd-dept/neptune-city-monmouth,330%,more likely,28%,more likely,1,8,8,18,This department uses force at lower rate than 355 police departments,Neptune City,Monmouth County,Patrol area: Neptune City,http://force.nj.com/database/pd-dept/neptune-city-monmouth
"Neptune Township, Monmouth",/database/pd-dept/neptune-township-monmouth,295%,more likely,79%,more likely,14,52,53,73,This department uses force at higher rate than 263 police departments,Neptune Township,Monmouth County,Patrol area: Neptune Township,http://force.nj.com/database/pd-dept/neptune-township-monmouth
"Netcong, Morris",/database/pd-dept/netcong-morris,N/A,Not found,22%,less likely,0,8,8,9,This department uses force at higher rate than 379 police departments,Netcong,Morris County,Patrol area: Netcong,http://force.nj.com/database/pd-dept/netcong-morris
"New Brunswick, Middlesex",/database/pd-dept/new-brunswick-middlesex,268%,more likely,78%,more likely,18,73,90,142,This department uses force at higher rate than 435 police departments,New Brunswick,Middlesex County,Patrol area: New Brunswick,http://force.nj.com/database/pd-dept/new-brunswick-middlesex
"New Milford, Bergen",/database/pd-dept/new-milford-bergen,48%,less likely,64%,less likely,0,9,9,33,This department uses force at lower rate than 249 police departments,New Milford,Bergen County,Patrol area: New Milford,http://force.nj.com/database/pd-dept/new-milford-bergen
"New Providence, Union",/database/pd-dept/new-providence-union,N/A,Not found,N/A,Not found,0,3,3,23,This department uses force at lower rate than 308 police departments,New Providence,Union County,Patrol area: New Providence,http://force.nj.com/database/pd-dept/new-providence-union
"Newark, Essex",/database/pd-dept/newark-essex,133%,more likely,203%,more likely,49,374,432,"1,088",This department uses force at higher rate than 255 police departments,Newark,Essex County,Patrol area: Newark,http://force.nj.com/database/pd-dept/newark-essex
"Newfield, Gloucester",/database/pd-dept/newfield-gloucester,N/A,Not found,N/A,Not found,0,0,0,5,This department uses force at lower rate than 297 police departments,Newfield,Gloucester County,Patrol area: Newfield,http://force.nj.com/database/pd-dept/newfield-gloucester
"Newton, Sussex",/database/pd-dept/newton-sussex,221%,more likely,175%,more likely,2,15,15,22,This department uses force at higher rate than 359 police departments,Newton,Sussex County,Patrol area: Newton,http://force.nj.com/database/pd-dept/newton-sussex
"North Arlington, Bergen",/database/pd-dept/north-arlington-bergen,126%,more likely,69%,less likely,0,12,15,27,This department uses force at lower rate than 237 police departments,North Arlington,Bergen County,Patrol area: North Arlington,http://force.nj.com/database/pd-dept/north-arlington-bergen
"North Bergen, Hudson",/database/pd-dept/north-bergen-hudson,3%,more likely,92%,more likely,0,56,57,118,This department uses force at higher rate than 237 police departments,North Bergen,Hudson County,Patrol area: North Bergen,http://force.nj.com/database/pd-dept/north-bergen-hudson
"North Brunswick, Middlesex",/database/pd-dept/north-brunswick-middlesex,206%,more likely,33%,more likely,0,23,28,78,This department uses force at lower rate than 312 police departments,North Brunswick,Middlesex County,Patrol area: North Brunswick,http://force.nj.com/database/pd-dept/north-brunswick-middlesex
"North Caldwell, Essex",/database/pd-dept/north-caldwell-essex,N/A,Not found,N/A,Not found,0,0,0,15,This department uses force at lower rate than 264 police departments,North Caldwell,Essex County,Patrol area: North Caldwell,http://force.nj.com/database/pd-dept/north-caldwell-essex
"North Haledon, Passaic",/database/pd-dept/north-haledon-passaic,N/A,Not found,114%,more likely,0,10,10,18,This department uses force at higher rate than 402 police departments,North Haledon,Passaic County,Patrol area: North Haledon,http://force.nj.com/database/pd-dept/north-haledon-passaic
"North Hanover, Burlington",/database/pd-dept/north-hanover-burlington,0%,less likely,4%,less likely,0,1,2,10,This department uses force at higher rate than 326 police departments,North Hanover,Burlington County,Patrol area: North Hanover,http://force.nj.com/database/pd-dept/north-hanover-burlington
"North Plainfield, Somerset",/database/pd-dept/north-plainfield-somerset,8%,more likely,18%,less likely,6,28,29,45,This department uses force at higher rate than 416 police departments,North Plainfield,Somerset County,Patrol area: North Plainfield,http://force.nj.com/database/pd-dept/north-plainfield-somerset
"North Wildwood, Cape May",/database/pd-dept/north-wildwood-cape-may,179%,more likely,18%,less likely,3,42,42,26,This department uses force at lower rate than 281 police departments,North Wildwood,Cape May County,Patrol area: North Wildwood,http://force.nj.com/database/pd-dept/north-wildwood-cape-may
"Northfield City, Atlantic",/database/pd-dept/northfield-atlantic,N/A,Not found,95%,more likely,0,3,4,21,This department uses force at lower rate than 434 police departments,Northfield,Atlantic County,Patrol area: Northfield City,http://force.nj.com/database/pd-dept/northfield-atlantic
"Northvale &amp; Rockleigh Borough, Bergen",/database/pd-dept/northvale-bergen,N/A,Not found,N/A,Not found,0,1,1,13,This department uses force at lower rate than 452 police departments,Northvale,Bergen County,Patrol area: Northvale &amp; Rockleigh Borough,http://force.nj.com/database/pd-dept/northvale-bergen
"Norwood, Bergen",/database/pd-dept/norwood-bergen,N/A,Not found,N/A,Not found,0,0,0,14,This department uses force at lower rate than 451 police departments,Norwood,Bergen County,Patrol area: Norwood,http://force.nj.com/database/pd-dept/norwood-bergen
"Nutley, Essex",/database/pd-dept/nutley-essex,603%,more likely,58%,more likely,2,34,36,68,This department uses force at higher rate than 453 police departments,Nutley,Essex County,Patrol area: Nutley,http://force.nj.com/database/pd-dept/nutley-essex
"Oakland, Bergen",/database/pd-dept/oakland-bergen,N/A,Not found,N/A,Not found,0,6,7,24,This department uses force at lower rate than 303 police departments,Oakland,Bergen County,Patrol area: Oakland,http://force.nj.com/database/pd-dept/oakland-bergen
"Oaklyn, Camden",/database/pd-dept/oaklyn-camden,N/A,Not found,41%,more likely,0,6,6,14,This department uses force at lower rate than 296 police departments,Oaklyn,Camden County,Patrol area: Oaklyn,http://force.nj.com/database/pd-dept/oaklyn-camden
"Ocean City, Cape May",/database/pd-dept/ocean-city-cape-may,1289%,more likely,13%,more likely,0,28,28,59,This department uses force at higher rate than 333 police departments,Ocean City,Cape May County,Patrol area: Ocean City,http://force.nj.com/database/pd-dept/ocean-city-cape-may
"Ocean Gate, Ocean",/database/pd-dept/ocean-gate-ocean,N/A,Not found,N/A,Not found,0,4,4,8,This department uses force at higher rate than 278 police departments,Ocean Gate,Ocean County,Patrol area: Ocean Gate,http://force.nj.com/database/pd-dept/ocean-gate-ocean
"Oceanport, Monmouth",/database/pd-dept/oceanport-monmouth,1311%,more likely,20%,less likely,0,12,12,14,This department uses force at higher rate than 311 police departments,Oceanport,Monmouth County,Patrol area: Oceanport,http://force.nj.com/database/pd-dept/oceanport-monmouth
"Ocean Township, Monmouth",/database/pd-dept/ocean-township-monmouth,423%,more likely,29%,more likely,1,22,23,60,This department uses force at lower rate than 288 police departments,Ocean Township,Monmouth County,Patrol area: Ocean Township,http://force.nj.com/database/pd-dept/ocean-township-monmouth
"Ocean Township, Ocean",/database/pd-dept/ocean-township-ocean,7519%,more likely,9%,less likely,1,5,8,20,This department uses force at lower rate than 242 police departments,Ocean Township,Ocean County,Patrol area: Ocean Township,http://force.nj.com/database/pd-dept/ocean-township-ocean
"Ogdensburg, Sussex",/database/pd-dept/ogdensburg-sussex,N/A,Not found,N/A,Not found,0,3,3,6,This department uses force at lower rate than 280 police departments,Ogdensburg,Sussex County,Patrol area: Ogdensburg,http://force.nj.com/database/pd-dept/ogdensburg-sussex
"Old Bridge, Middlesex",/database/pd-dept/old-bridge-middlesex,201%,more likely,24%,more likely,0,13,15,87,This department uses force at lower rate than 384 police departments,Old Bridge,Middlesex County,Patrol area: Old Bridge,http://force.nj.com/database/pd-dept/old-bridge-middlesex
"Old Tappan, Bergen",/database/pd-dept/old-tappan-bergen,N/A,Not found,N/A,Not found,0,2,2,12,This department uses force at lower rate than 427 police departments,Old Tappan,Bergen County,Patrol area: Old Tappan,http://force.nj.com/database/pd-dept/old-tappan-bergen
"Oradell, Bergen",/database/pd-dept/oradell-bergen,N/A,Not found,N/A,Not found,0,1,2,20,This department uses force at lower rate than 437 police departments,Oradell,Bergen County,Patrol area: Oradell,http://force.nj.com/database/pd-dept/oradell-bergen
"Orange, Essex",/database/pd-dept/orange-essex,76%,less likely,38%,more likely,5,32,37,103,This department uses force at higher rate than 411 police departments,Orange,Essex County,Patrol area: Orange,http://force.nj.com/database/pd-dept/orange-essex
"Palisades Park, Bergen",/database/pd-dept/palisades-park-bergen,N/A,Not found,18%,more likely,0,10,11,32,This department uses force at lower rate than 360 police departments,Palisades Park,Bergen County,Patrol area: Palisades Park,http://force.nj.com/database/pd-dept/palisades-park-bergen
"Palmyra, Burlington",/database/pd-dept/palmyra-burlington,210%,more likely,4%,less likely,0,7,7,17,This department uses force at lower rate than 393 police departments,Palmyra,Burlington County,Patrol area: Palmyra,http://force.nj.com/database/pd-dept/palmyra-burlington
"Paramus, Bergen",/database/pd-dept/paramus-bergen,1530%,more likely,58%,more likely,6,29,38,82,This department uses force at higher rate than 298 police departments,Paramus,Bergen County,Patrol area: Paramus,http://force.nj.com/database/pd-dept/paramus-bergen
"Park Ridge, Bergen",/database/pd-dept/park-ridge-bergen,26%,less likely,47%,less likely,0,5,5,18,This department uses force at higher rate than 455 police departments,Park Ridge,Bergen County,Patrol area: Park Ridge,http://force.nj.com/database/pd-dept/park-ridge-bergen
"Parsippany-Troy, Morris",/database/pd-dept/parsippany-troy-morris,93%,more likely,9%,more likely,2,26,26,96,This department uses force at higher rate than 413 police departments,Parsippany-Troy,Morris County,Patrol area: Parsippany-Troy,http://force.nj.com/database/pd-dept/parsippany-troy-morris
"Passaic, Passaic",/database/pd-dept/passaic-passaic,67%,more likely,158%,more likely,13,84,88,150,This department uses force at higher rate than 275 police departments,Passaic,Passaic County,Patrol area: Passaic,http://force.nj.com/database/pd-dept/passaic-passaic
"Paterson, Passaic",/database/pd-dept/paterson-passaic,78%,more likely,459%,more likely,35,233,252,377,This department uses force at higher rate than 401 police departments,Paterson,Passaic County,Patrol area: Paterson,http://force.nj.com/database/pd-dept/paterson-passaic
"Paulsboro, Gloucester",/database/pd-dept/paulsboro-gloucester,210%,more likely,41%,more likely,3,22,24,17,This department uses force at higher rate than 340 police departments,Paulsboro,Gloucester County,Patrol area: Paulsboro,http://force.nj.com/database/pd-dept/paulsboro-gloucester
"Peapack-Gladstone, Somerset",/database/pd-dept/peapack-gladstone-somerset,N/A,Not found,N/A,Not found,0,1,1,8,This department uses force at lower rate than 235 police departments,Peapack-Gladstone,Somerset County,Patrol area: Peapack-Gladstone,http://force.nj.com/database/pd-dept/peapack-gladstone-somerset
"Pemberton Borough, Burlington",/database/pd-dept/pemberton-borough-burlington,181%,more likely,26%,more likely,0,5,5,5,This department uses force at higher rate than 260 police departments,Pemberton Borough,Burlington County,Patrol area: Pemberton Borough,http://force.nj.com/database/pd-dept/pemberton-borough-burlington
"Pemberton Township, Burlington",/database/pd-dept/pemberton-township-burlington,147%,more likely,8%,more likely,2,32,32,48,This department uses force at higher rate than 258 police departments,Pemberton Township,Burlington County,Patrol area: Pemberton Township,http://force.nj.com/database/pd-dept/pemberton-township-burlington
"Pennington, Mercer",/database/pd-dept/pennington-mercer,N/A,Not found,N/A,Not found,0,0,0,4,This department uses force at lower rate than 438 police departments,Pennington,Mercer County,Patrol area: Pennington,http://force.nj.com/database/pd-dept/pennington-mercer
"Penns Grove, Salem",/database/pd-dept/penns-grove-salem,173%,more likely,59%,more likely,3,7,8,14,This department uses force at higher rate than 290 police departments,Penns Grove,Salem County,Patrol area: Penns Grove,http://force.nj.com/database/pd-dept/penns-grove-salem
"Pennsauken, Camden",/database/pd-dept/pennsauken-camden,106%,more likely,71%,more likely,6,49,54,80,This department uses force at higher rate than 293 police departments,Pennsauken,Camden County,Patrol area: Pennsauken,http://force.nj.com/database/pd-dept/pennsauken-camden
"Pennsville, Salem",/database/pd-dept/pennsville-salem,1845%,more likely,19%,more likely,4,14,14,22,This department uses force at higher rate than 318 police departments,Pennsville,Salem County,Patrol area: Pennsville,http://force.nj.com/database/pd-dept/pennsville-salem
"Pequannock, Morris",/database/pd-dept/pequannock-morris,1673%,more likely,36%,more likely,0,7,7,31,This department uses force at lower rate than 317 police departments,Pequannock,Morris County,Patrol area: Pequannock,http://force.nj.com/database/pd-dept/pequannock-morris
"Perth Amboy, Middlesex",/database/pd-dept/perth-amboy-middlesex,65%,less likely,Not found,Not found,30,75,78,115,This department uses force at higher rate than 432 police departments,Perth Amboy,Middlesex County,Patrol area: Perth Amboy,http://force.nj.com/database/pd-dept/perth-amboy-middlesex
"Phillipsburg &amp; Alpha, Warren",/database/pd-dept/phillipsburg-warren,232%,more likely,40%,more likely,4,13,15,36,This department uses force at lower rate than 362 police departments,Phillipsburg,Warren County,Patrol area: Phillipsburg &amp; Alpha,http://force.nj.com/database/pd-dept/phillipsburg-warren
"Pine Beach, Ocean",/database/pd-dept/pine-beach-ocean,N/A,Not found,N/A,Not found,0,5,5,6,This department uses force at higher rate than 464 police departments,Pine Beach,Ocean County,Patrol area: Pine Beach,http://force.nj.com/database/pd-dept/pine-beach-ocean
"Pine Hill, Camden",/database/pd-dept/pine-hill-camden,127%,more likely,25%,more likely,2,15,15,20,This department uses force at higher rate than 378 police departments,Pine Hill,Camden County,Patrol area: Pine Hill,http://force.nj.com/database/pd-dept/pine-hill-camden
"Piscataway, Middlesex",/database/pd-dept/piscataway-middlesex,22%,more likely,37%,less likely,0,13,16,84,This department uses force at lower rate than 442 police departments,Piscataway,Middlesex County,Patrol area: Piscataway,http://force.nj.com/database/pd-dept/piscataway-middlesex
"Pitman, Gloucester",/database/pd-dept/pitman-gloucester,706%,more likely,56%,more likely,0,5,6,16,This department uses force at higher rate than 291 police departments,Pitman,Gloucester County,Patrol area: Pitman,http://force.nj.com/database/pd-dept/pitman-gloucester
"Plainfield, Union",/database/pd-dept/plainfield-union,38%,less likely,66%,more likely,4,45,47,136,This department uses force at lower rate than 284 police departments,Plainfield,Union County,Patrol area: Plainfield,http://force.nj.com/database/pd-dept/plainfield-union
"Plainsboro, Middlesex",/database/pd-dept/plainsboro-middlesex,178%,more likely,12%,less likely,0,23,23,34,This department uses force at higher rate than 242 police departments,Plainsboro,Middlesex County,Patrol area: Plainsboro,http://force.nj.com/database/pd-dept/plainsboro-middlesex
"Pleasantville, Atlantic",/database/pd-dept/pleasantville-atlantic,44%,less likely,32%,more likely,9,36,39,49,This department uses force at higher rate than 463 police departments,Pleasantville,Atlantic County,Patrol area: Pleasantville,http://force.nj.com/database/pd-dept/pleasantville-atlantic
"Plumsted, Ocean",/database/pd-dept/plumsted-ocean,N/A,Not found,89%,more likely,0,1,1,13,This department uses force at higher rate than 281 police departments,Plumsted,Ocean County,Patrol area: Plumsted,http://force.nj.com/database/pd-dept/plumsted-ocean
"Pohatcong, Warren",/database/pd-dept/pohatcong-warren,N/A,Not found,153%,more likely,0,5,6,12,This department uses force at lower rate than 353 police departments,Pohatcong,Warren County,Patrol area: Pohatcong,http://force.nj.com/database/pd-dept/pohatcong-warren
"Point Pleasant Beach, Ocean",/database/pd-dept/point-pleasant-beach-ocean,2331%,more likely,10%,more likely,1,40,40,22,This department uses force at lower rate than 245 police departments,Point Pleasant Beach,Ocean County,Patrol area: Point Pleasant Beach,http://force.nj.com/database/pd-dept/point-pleasant-beach-ocean
"Point Pleasant, Ocean",/database/pd-dept/point-pleasant-ocean,N/A,Not found,N/A,Not found,1,15,16,32,This department uses force at lower rate than 278 police departments,Point Pleasant,Ocean County,Patrol area: Point Pleasant,http://force.nj.com/database/pd-dept/point-pleasant-ocean
"Pompton Lakes, Passaic",/database/pd-dept/pompton-lakes-passaic,29976%,more likely,385%,more likely,5,15,16,20,This department uses force at higher rate than 451 police departments,Pompton Lakes,Passaic County,Patrol area: Pompton Lakes,http://force.nj.com/database/pd-dept/pompton-lakes-passaic
"Princeton &amp; Princeton Borough (2012 only), Mercer",/database/pd-dept/princeton-mercer,493%,more likely,57%,more likely,0,17,17,52,This department uses force at lower rate than 306 police departments,Princeton,Mercer County,Patrol area: Princeton &amp; Princeton Borough (2012 only),http://force.nj.com/database/pd-dept/princeton-mercer
"Prospect Park, Passaic",/database/pd-dept/prospect-park-passaic,1%,less likely,162%,more likely,0,5,6,16,This department uses force at higher rate than 334 police departments,Prospect Park,Passaic County,Patrol area: Prospect Park,http://force.nj.com/database/pd-dept/prospect-park-passaic
"Rahway, Union",/database/pd-dept/rahway-union,23%,more likely,3%,less likely,2,21,25,74,This department uses force at lower rate than 269 police departments,Rahway,Union County,Patrol area: Rahway,http://force.nj.com/database/pd-dept/rahway-union
"Ramsey, Bergen",/database/pd-dept/ramsey-bergen,5987%,more likely,55%,less likely,1,17,17,32,This department uses force at higher rate than 373 police departments,Ramsey,Bergen County,Patrol area: Ramsey,http://force.nj.com/database/pd-dept/ramsey-bergen
